PeriodEnd,PeriodStart,Period,AirTemp,Dni
2019-12-31T00:30:00Z,2019-12-31T00:15:00Z,PT15M,18.4,908
2019-12-31T00:45:00Z,2019-12-31T00:30:00Z,PT15M,18.6,932
2019-12-31T01:00:00Z,2019-12-31T00:45:00Z,PT15M,18.7,951
2019-12-31T01:15:00Z,2019-12-31T01:00:00Z,PT15M,18.9,967
2019-12-31T01:30:00Z,2019-12-31T01:15:00Z,PT15M,19.0,983
2019-12-31T01:45:00Z,2019-12-31T01:30:00Z,PT15M,19.1,995
2019-12-31T02:00:00Z,2019-12-31T01:45:00Z,PT15M,19.2,1003
2019-12-31T02:15:00Z,2019-12-31T02:00:00Z,PT15M,19.3,1010
2019-12-31T02:30:00Z,2019-12-31T02:15:00Z,PT15M,19.4,1015
2019-12-31T02:45:00Z,2019-12-31T02:30:00Z,PT15M,19.6,1016
2019-12-31T03:00:00Z,2019-12-31T02:45:00Z,PT15M,19.7,1015
2019-12-31T03:15:00Z,2019-12-31T03:00:00Z,PT15M,19.8,1013
2019-12-31T03:30:00Z,2019-12-31T03:15:00Z,PT15M,19.9,1008
2019-12-31T03:45:00Z,2019-12-31T03:30:00Z,PT15M,19.9,1003
2019-12-31T04:00:00Z,2019-12-31T03:45:00Z,PT15M,20.0,995
2019-12-31T04:15:00Z,2019-12-31T04:00:00Z,PT15M,20.0,988
2019-12-31T04:30:00Z,2019-12-31T04:15:00Z,PT15M,20.0,980
2019-12-31T04:45:00Z,2019-12-31T04:30:00Z,PT15M,20.0,972
2019-12-31T05:00:00Z,2019-12-31T04:45:00Z,PT15M,20.0,964
2019-12-31T05:15:00Z,2019-12-31T05:00:00Z,PT15M,20.0,955
2019-12-31T05:30:00Z,2019-12-31T05:15:00Z,PT15M,19.9,946
2019-12-31T05:45:00Z,2019-12-31T05:30:00Z,PT15M,19.8,936
2019-12-31T06:00:00Z,2019-12-31T05:45:00Z,PT15M,19.7,924
2019-12-31T06:15:00Z,2019-12-31T06:00:00Z,PT15M,19.7,911
2019-12-31T06:30:00Z,2019-12-31T06:15:00Z,PT15M,19.6,895
2019-12-31T06:45:00Z,2019-12-31T06:30:00Z,PT15M,19.5,876
2019-12-31T07:00:00Z,2019-12-31T06:45:00Z,PT15M,19.4,855
2019-12-31T07:15:00Z,2019-12-31T07:00:00Z,PT15M,19.3,830
2019-12-31T07:30:00Z,2019-12-31T07:15:00Z,PT15M,19.2,801
2019-12-31T07:45:00Z,2019-12-31T07:30:00Z,PT15M,19.1,766
2019-12-31T08:00:00Z,2019-12-31T07:45:00Z,PT15M,19.0,726
2019-12-31T08:15:00Z,2019-12-31T08:00:00Z,PT15M,18.8,677
2019-12-31T08:30:00Z,2019-12-31T08:15:00Z,PT15M,18.6,618
2019-12-31T08:45:00Z,2019-12-31T08:30:00Z,PT15M,18.5,546
2019-12-31T09:00:00Z,2019-12-31T08:45:00Z,PT15M,18.3,381
2019-12-31T09:15:00Z,2019-12-31T09:00:00Z,PT15M,18.1,230
2019-12-31T09:30:00Z,2019-12-31T09:15:00Z,PT15M,17.8,133
2019-12-31T09:45:00Z,2019-12-31T09:30:00Z,PT15M,17.6,15
2019-12-31T10:00:00Z,2019-12-31T09:45:00Z,PT15M,17.3,0
2019-12-31T10:15:00Z,2019-12-31T10:00:00Z,PT15M,17.1,0
2019-12-31T10:30:00Z,2019-12-31T10:15:00Z,PT15M,16.9,0
2019-12-31T10:45:00Z,2019-12-31T10:30:00Z,PT15M,16.8,0
2019-12-31T11:00:00Z,2019-12-31T10:45:00Z,PT15M,16.6,0
2019-12-31T11:15:00Z,2019-12-31T11:00:00Z,PT15M,16.4,0
2019-12-31T11:30:00Z,2019-12-31T11:15:00Z,PT15M,16.3,0
2019-12-31T11:45:00Z,2019-12-31T11:30:00Z,PT15M,16.2,0
2019-12-31T12:00:00Z,2019-12-31T11:45:00Z,PT15M,16.1,0
2019-12-31T12:15:00Z,2019-12-31T12:00:00Z,PT15M,16.0,0
2019-12-31T12:30:00Z,2019-12-31T12:15:00Z,PT15M,15.9,0
2019-12-31T12:45:00Z,2019-12-31T12:30:00Z,PT15M,15.8,0
2019-12-31T13:00:00Z,2019-12-31T12:45:00Z,PT15M,15.7,0
2019-12-31T13:15:00Z,2019-12-31T13:00:00Z,PT15M,15.7,0
2019-12-31T13:30:00Z,2019-12-31T13:15:00Z,PT15M,15.6,0
2019-12-31T13:45:00Z,2019-12-31T13:30:00Z,PT15M,15.6,0
2019-12-31T14:00:00Z,2019-12-31T13:45:00Z,PT15M,15.5,0
2019-12-31T14:15:00Z,2019-12-31T14:00:00Z,PT15M,15.4,0
2019-12-31T14:30:00Z,2019-12-31T14:15:00Z,PT15M,15.3,0
2019-12-31T14:45:00Z,2019-12-31T14:30:00Z,PT15M,15.2,0
2019-12-31T15:00:00Z,2019-12-31T14:45:00Z,PT15M,15.1,0
2019-12-31T15:15:00Z,2019-12-31T15:00:00Z,PT15M,15.0,0
2019-12-31T15:30:00Z,2019-12-31T15:15:00Z,PT15M,14.9,0
2019-12-31T15:45:00Z,2019-12-31T15:30:00Z,PT15M,14.8,0
2019-12-31T16:00:00Z,2019-12-31T15:45:00Z,PT15M,14.7,0
2019-12-31T16:15:00Z,2019-12-31T16:00:00Z,PT15M,14.7,0
2019-12-31T16:30:00Z,2019-12-31T16:15:00Z,PT15M,14.6,0
2019-12-31T16:45:00Z,2019-12-31T16:30:00Z,PT15M,14.5,0
2019-12-31T17:00:00Z,2019-12-31T16:45:00Z,PT15M,14.4,0
2019-12-31T17:15:00Z,2019-12-31T17:00:00Z,PT15M,14.4,0
2019-12-31T17:30:00Z,2019-12-31T17:15:00Z,PT15M,14.3,0
2019-12-31T17:45:00Z,2019-12-31T17:30:00Z,PT15M,14.3,0
2019-12-31T18:00:00Z,2019-12-31T17:45:00Z,PT15M,14.2,0
2019-12-31T18:15:00Z,2019-12-31T18:00:00Z,PT15M,14.2,0
2019-12-31T18:30:00Z,2019-12-31T18:15:00Z,PT15M,14.1,0
